,SmolLM3-3B,claude-3-5-haiku-20241022,claude-3-7-sonnet-20250219,claude-sonnet-4-20250514,claude-sonnet-4-5-20250929,gemini-2.0-flash,gemini-2.5-flash,gemini-3-flash-preview,gemini-3-pro-preview,gpt-4o,gpt-5-mini,gpt-5-nano,gpt-5.2
SmolLM3-3B,0.0,-1.61215826189221,-2.3572614352760555,-2.983985025070664,-3.1538482246619974,-1.8835987629184012,-2.5576327933919365,-3.0195770079904474,-3.3259954101049924,-1.84690907992729,-2.0776412289177686,-0.5979420082125972,-2.4332179887953083
claude-3-5-haiku-20241022,1.61215826189221,0.0,-0.624018666485553,-1.0830192856967074,-1.2019763922058921,-0.28165132632240725,-0.726925753592937,-1.1356744811763677,-1.3461571806256403,-0.2341415551768374,-0.4127387762700761,0.9951956298743766,-0.6320641017741828
claude-3-7-sonnet-20250219,2.3572614352760555,0.624018666485553,0.0,-0.4434019403610166,-0.5597918481626186,0.3150912522909717,-0.0718959702526978,-0.5093843827557917,-0.7155628310927915,0.37134868528064435,0.2011869838273692,1.6843575376269466,0.020735968370188207
claude-sonnet-4-20250514,2.983985025070664,1.0830192856967074,0.4434019403610166,0.0,-0.12067096579798227,0.7369285050723091,0.40715081983610296,-0.08587248664536525,-0.30333757918646087,0.8040757981621034,0.6389657466800278,2.2356955523426323,0.49981803708112765
claude-sonnet-4-5-20250929,3.1538482246619974,1.2019763922058921,0.5597918481626186,0.12067096579798227,0.0,0.8442691401957438,0.5381956186617811,0.02705686007197473,-0.19244096147312387,0.9149321603575049,0.7522378235650032,2.382305185852366,0.6298830680893056
gemini-2.0-flash,1.8835987629184012,0.28165132632240725,-0.3150912522909717,-0.7369285050723091,-0.8442691401957438,0.0,-0.39826440419229836,-0.7924750917974114,-0.9810337019007518,0.049195495303195474,-0.1184134391486378,1.2671007202174736,-0.3100028948062436
gemini-2.5-flash,2.5576327933919365,0.726925753592937,0.0718959702526978,-0.40715081983610296,-0.5381956186617811,0.39826440419229836,0.0,-0.4800905844360758,-0.715440869883848,0.45897710579953543,0.28259949099269777,1.844171944858605,0.09902878141192543
gemini-3-flash-preview,3.0195770079904474,1.1356744811763677,0.5093843827557917,0.08587248664536525,-0.02705686007197473,0.7924750917974114,0.4800905844360758,0.0,-0.20216334437834144,0.8594802295660888,0.6987028842872967,2.2772945023100015,0.5693280239922616
gemini-3-pro-preview,3.3259954101049924,1.3461571806256403,0.7155628310927915,0.30333757918646087,0.19244096147312387,0.9810337019007518,0.715440869883848,0.20216334437834144,0.0,1.054679210793434,0.898577864183784,2.53987669696113,0.8022637494190277
gpt-4o,1.84690907992729,0.2341415551768374,-0.37134868528064435,-0.8040757981621034,-0.9149321603575049,-0.049195495303195474,-0.45897710579953543,-0.8594802295660888,-1.054679210793434,0.0,-0.1706127444820336,1.2267856197010816,-0.36873856441601094
gpt-5-mini,2.0776412289177686,0.4127387762700761,-0.2011869838273692,-0.6389657466800278,-0.7522378235650032,0.1184134391486378,-0.28259949099269777,-0.6987028842872967,-0.898577864183784,0.1706127444820336,0.0,1.434774466141651,-0.19121267300247474
gpt-5-nano,0.5979420082125972,-0.9951956298743766,-1.6843575376269466,-2.2356955523426323,-2.382305185852366,-1.2671007202174736,-1.844171944858605,-2.2772945023100015,-2.53987669696113,-1.2267856197010816,-1.434774466141651,0.0,-1.7331474250865468
gpt-5.2,2.4332179887953083,0.6320641017741828,-0.020735968370188207,-0.49981803708112765,-0.6298830680893056,0.3100028948062436,-0.09902878141192543,-0.5693280239922616,-0.8022637494190277,0.36873856441601094,0.19121267300247474,1.7331474250865468,0.0
